Label,Iteration,Qubits,Abs_Error,Exp_Value,Ideal_Value,Circuit_Density,Job_ID,Method_Index
10: no_dd,1,10,0.62109375,0.37890625,1.0,0.205,d591rd3ht8fs73a48k3g,0
10: no_dd,2,10,0.60205078125,0.39794921875,1.0,0.205,d591rdbht8fs73a48k40,0
10: no_dd,3,10,0.58447265625,0.41552734375,1.0,0.205,d591rdnp3tbc73armvqg,0
10: dd_xx,1,10,0.49169921875,0.50830078125,1.0,0.205,d591rd3ht8fs73a48k3g,1
10: dd_xx,2,10,0.47265625,0.52734375,1.0,0.205,d591rdbht8fs73a48k40,1
10: dd_xx,3,10,0.44970703125,0.55029296875,1.0,0.205,d591rdnp3tbc73armvqg,1
10: dd_cust,1,10,0.4404296875,0.5595703125,1.0,0.205,d591rd3ht8fs73a48k3g,2
10: dd_cust,2,10,0.4365234375,0.5634765625,1.0,0.205,d591rdbht8fs73a48k40,2
10: dd_cust,3,10,0.44091796875,0.55908203125,1.0,0.205,d591rdnp3tbc73armvqg,2
15: no_dd,1,15,0.72802734375,-0.27197265625,-1.0,0.13925925925925925,d591rd3ht8fs73a48k3g,0
15: no_dd,2,15,0.77294921875,-0.22705078125,-1.0,0.13925925925925925,d591rdbht8fs73a48k40,0
15: no_dd,3,15,0.77392578125,-0.22607421875,-1.0,0.13925925925925925,d591rdnp3tbc73armvqg,0
15: dd_xx,1,15,0.6328125,-0.3671875,-1.0,0.13925925925925925,d591rd3ht8fs73a48k3g,1
15: dd_xx,2,15,0.66845703125,-0.33154296875,-1.0,0.13925925925925925,d591rdbht8fs73a48k40,1
15: dd_xx,3,15,0.63330078125,-0.36669921875,-1.0,0.13925925925925925,d591rdnp3tbc73armvqg,1
15: dd_cust,1,15,0.65380859375,-0.34619140625,-1.0,0.13925925925925925,d591rd3ht8fs73a48k3g,2
15: dd_cust,2,15,0.669921875,-0.330078125,-1.0,0.13925925925925925,d591rdbht8fs73a48k40,2
15: dd_cust,3,15,0.66845703125,-0.33154296875,-1.0,0.13925925925925925,d591rdnp3tbc73armvqg,2
20: no_dd,1,20,1.0205078125,-0.0205078125,1.0,0.10541666666666667,d591rd3ht8fs73a48k3g,0
20: no_dd,2,20,1.00244140625,-0.00244140625,1.0,0.10541666666666667,d591rdbht8fs73a48k40,0
20: no_dd,3,20,1.02685546875,-0.02685546875,1.0,0.10541666666666667,d591rdnp3tbc73armvqg,0
20: dd_xx,1,20,0.853515625,0.146484375,1.0,0.10541666666666667,d591rd3ht8fs73a48k3g,1
20: dd_xx,2,20,0.8671875,0.1328125,1.0,0.10541666666666667,d591rdbht8fs73a48k40,1
20: dd_xx,3,20,0.8662109375,0.1337890625,1.0,0.10541666666666667,d591rdnp3tbc73armvqg,1
20: dd_cust,1,20,0.83837890625,0.16162109375,1.0,0.10541666666666667,d591rd3ht8fs73a48k3g,2
20: dd_cust,2,20,0.845703125,0.154296875,1.0,0.10541666666666667,d591rdbht8fs73a48k40,2
20: dd_cust,3,20,0.84619140625,0.15380859375,1.0,0.10541666666666667,d591rdnp3tbc73armvqg,2
