Label,Qubits,Iteration,Mitigation,Abs_Error,Exp_Value,Ideal_Value,Circuit Depth,Count 1q gates,Count 2q gates,ZNE_Heuristic,Job_ID
5q (No_ZNE),5,1,No_ZNE,0.037109375,0.87744140625,0.91455078125,19,51,4,0.0290343432245104,d57oscpsmlfc739itqgg
5q (No_ZNE),5,2,No_ZNE,0.03759765625,0.876953125,0.91455078125,19,51,4,0.0290343432245104,d57osdfp3tbc73aqg6vg
5q (No_ZNE),5,3,No_ZNE,0.03515625,0.87939453125,0.91455078125,19,51,4,0.0290343432245104,d57osdvp3tbc73aqg70g
5q (With_ZNE_GT),5,1,With_ZNE_GT,0.04084498984209761,0.8737057914079024,0.91455078125,19,51,4,0.0290343432245104,d57osd7p3tbc73aqg6v0
5q (With_ZNE_GT),5,2,With_ZNE_GT,0.028161355002864985,0.886389426247135,0.91455078125,19,51,4,0.0290343432245104,d57osdhsmlfc739itqhg
5q (With_ZNE_GT),5,3,With_ZNE_GT,0.02023199102293316,0.8943187902270668,0.91455078125,19,51,4,0.0290343432245104,d57ose3ht8fs73a31vcg
10q (No_ZNE),10,1,No_ZNE,0.1064453125,0.3525390625,0.458984375,34,105,9,0.10789657605950144,d57oscpsmlfc739itqgg
10q (No_ZNE),10,2,No_ZNE,0.0732421875,0.3857421875,0.458984375,34,105,9,0.10789657605950144,d57osdfp3tbc73aqg6vg
10q (No_ZNE),10,3,No_ZNE,0.0810546875,0.3779296875,0.458984375,34,105,9,0.10789657605950144,d57osdvp3tbc73aqg70g
10q (With_ZNE_GT),10,1,With_ZNE_GT,0.09943875726286033,0.35954561773713967,0.458984375,34,105,9,0.10789657605950144,d57osd7p3tbc73aqg6v0
10q (With_ZNE_GT),10,2,With_ZNE_GT,0.08135345496204494,0.37763092003795506,0.458984375,34,105,9,0.10789657605950144,d57osdhsmlfc739itqhg
10q (With_ZNE_GT),10,3,With_ZNE_GT,0.06841825100773036,0.39056612399226964,0.458984375,34,105,9,0.10789657605950144,d57ose3ht8fs73a31vcg
15q (No_ZNE),15,1,No_ZNE,0.08544921875,0.57373046875,0.6591796875,49,160,14,0.20786330305644526,d57oscpsmlfc739itqgg
15q (No_ZNE),15,2,No_ZNE,0.10888671875,0.55029296875,0.6591796875,49,160,14,0.20786330305644526,d57osdfp3tbc73aqg6vg
15q (No_ZNE),15,3,No_ZNE,0.12841796875,0.53076171875,0.6591796875,49,160,14,0.20786330305644526,d57osdvp3tbc73aqg70g
15q (With_ZNE_GT),15,1,With_ZNE_GT,0.09012996040432564,0.5690497270956744,0.6591796875,49,160,14,0.20786330305644526,d57osd7p3tbc73aqg6v0
15q (With_ZNE_GT),15,2,With_ZNE_GT,0.0628833855073786,0.5962963019926214,0.6591796875,49,160,14,0.20786330305644526,d57osdhsmlfc739itqhg
15q (With_ZNE_GT),15,3,With_ZNE_GT,0.13685941209798025,0.5223202754020198,0.6591796875,49,160,14,0.20786330305644526,d57ose3ht8fs73a31vcg
20q (No_ZNE),20,1,No_ZNE,0.1708984375,0.39453125,0.5654296875,64,215,19,0.3593184491610634,d57oscpsmlfc739itqgg
20q (No_ZNE),20,2,No_ZNE,0.17529296875,0.39013671875,0.5654296875,64,215,19,0.3593184491610634,d57osdfp3tbc73aqg6vg
20q (No_ZNE),20,3,No_ZNE,0.18212890625,0.38330078125,0.5654296875,64,215,19,0.3593184491610634,d57osdvp3tbc73aqg70g
20q (With_ZNE_GT),20,1,With_ZNE_GT,0.09862381047486635,0.46680587702513365,0.5654296875,64,215,19,0.3593184491610634,d57osd7p3tbc73aqg6v0
20q (With_ZNE_GT),20,2,With_ZNE_GT,0.17304299146293328,0.3923866960370667,0.5654296875,64,215,19,0.3593184491610634,d57osdhsmlfc739itqhg
20q (With_ZNE_GT),20,3,With_ZNE_GT,0.160387702767315,0.405041984732685,0.5654296875,64,215,19,0.3593184491610634,d57ose3ht8fs73a31vcg
25q (No_ZNE),25,1,No_ZNE,0.17138671875,0.236328125,0.40771484375,79,270,24,0.5595674086493011,d57oscpsmlfc739itqgg
25q (No_ZNE),25,2,No_ZNE,0.15283203125,0.2548828125,0.40771484375,79,270,24,0.5595674086493011,d57osdfp3tbc73aqg6vg
25q (No_ZNE),25,3,No_ZNE,0.158203125,0.24951171875,0.40771484375,79,270,24,0.5595674086493011,d57osdvp3tbc73aqg70g
25q (With_ZNE_GT),25,1,With_ZNE_GT,0.12820493129804295,0.27950991245195705,0.40771484375,79,270,24,0.5595674086493011,d57osd7p3tbc73aqg6v0
25q (With_ZNE_GT),25,2,With_ZNE_GT,356.56956146691596,356.97727631066596,0.40771484375,79,270,24,0.5595674086493011,d57osdhsmlfc739itqhg
25q (With_ZNE_GT),25,3,With_ZNE_GT,0.13193124511683307,0.2757835986331669,0.40771484375,79,270,24,0.5595674086493011,d57ose3ht8fs73a31vcg
