Label,Qubits,Iteration,Mitigation,Abs_Error,Exp_Value,Ideal_Value,Circuit Depth,Count 1q gates,Count 2q gates,ZNE_Heuristic,Cnt 2q per qubit,Job_ID
8q (No_ZNE),8,1,No_ZNE,0.41943359375,0.58056640625,1.0,48,69,14,0.12354737299136641,1.75,d4p8963her1c73b9v7jg
8q (No_ZNE),8,2,No_ZNE,0.42578125,0.57421875,1.0,48,69,14,0.12354737299136641,1.75,d4p896k5fjns73cv3atg
8q (No_ZNE),8,3,No_ZNE,0.4013671875,0.5986328125,1.0,48,69,14,0.12354737299136641,1.75,d4p8973her1c73b9v7lg
8q (With_ZNE_GT),8,1,With_ZNE_GT,0.15915228319889851,0.8408477168011015,1.0,48,69,14,0.12354737299136641,1.75,d4p896cfitbs739fn9fg
8q (With_ZNE_GT),8,2,With_ZNE_GT,0.21356324762771184,0.7864367523722882,1.0,48,69,14,0.12354737299136641,1.75,d4p896vt3pms7395u210
8q (With_ZNE_GT),8,3,With_ZNE_GT,0.2100991220550652,0.7899008779449348,1.0,48,69,14,0.12354737299136641,1.75,d4p897bher1c73b9v7n0
15q (No_ZNE),15,1,No_ZNE,0.7783203125,-0.2216796875,-1.0,90,132,28,0.4203496439251684,1.867,d4p8963her1c73b9v7jg
15q (No_ZNE),15,2,No_ZNE,0.7783203125,-0.2216796875,-1.0,90,132,28,0.4203496439251684,1.867,d4p896k5fjns73cv3atg
15q (No_ZNE),15,3,No_ZNE,0.822265625,-0.177734375,-1.0,90,132,28,0.4203496439251684,1.867,d4p8973her1c73b9v7lg
15q (With_ZNE_GT),15,1,With_ZNE_GT,0.2899594902817403,-0.7100405097182597,-1.0,90,132,28,0.4203496439251684,1.867,d4p896cfitbs739fn9fg
15q (With_ZNE_GT),15,2,With_ZNE_GT,0.21203777753423458,-0.7879622224657654,-1.0,90,132,28,0.4203496439251684,1.867,d4p896vt3pms7395u210
15q (With_ZNE_GT),15,3,With_ZNE_GT,0.4619535466480199,-0.5380464533519801,-1.0,90,132,28,0.4203496439251684,1.867,d4p897bher1c73b9v7n0
20q (No_ZNE),20,1,No_ZNE,0.95361328125,0.04638671875,1.0,120,177,38,0.7900719783539634,1.9,d4p8963her1c73b9v7jg
20q (No_ZNE),20,2,No_ZNE,0.95166015625,0.04833984375,1.0,120,177,38,0.7900719783539634,1.9,d4p896k5fjns73cv3atg
20q (No_ZNE),20,3,No_ZNE,0.96728515625,0.03271484375,1.0,120,177,38,0.7900719783539634,1.9,d4p8973her1c73b9v7lg
20q (With_ZNE_GT),20,1,With_ZNE_GT,0.7296886583886392,0.27031134161136083,1.0,120,177,38,0.7900719783539634,1.9,d4p896cfitbs739fn9fg
20q (With_ZNE_GT),20,2,With_ZNE_GT,270.39369049058996,271.39369049058996,1.0,120,177,38,0.7900719783539634,1.9,d4p896vt3pms7395u210
20q (With_ZNE_GT),20,3,With_ZNE_GT,0.42872040084645313,0.5712795991535469,1.0,120,177,38,0.7900719783539634,1.9,d4p897bher1c73b9v7n0
25q (No_ZNE),25,1,No_ZNE,0.98681640625,-0.01318359375,-1.0,150,222,48,1.115796859541487,1.92,d4p8963her1c73b9v7jg
25q (No_ZNE),25,2,No_ZNE,1.00341796875,0.00341796875,-1.0,150,222,48,1.115796859541487,1.92,d4p896k5fjns73cv3atg
25q (No_ZNE),25,3,No_ZNE,0.97705078125,-0.02294921875,-1.0,150,222,48,1.115796859541487,1.92,d4p8973her1c73b9v7lg
25q (With_ZNE_GT),25,1,With_ZNE_GT,0.9808584210492023,-0.019141578950797704,-1.0,150,222,48,1.115796859541487,1.92,d4p896cfitbs739fn9fg
25q (With_ZNE_GT),25,2,With_ZNE_GT,1.0,-2.6005603557480655e-17,-1.0,150,222,48,1.115796859541487,1.92,d4p896vt3pms7395u210
25q (With_ZNE_GT),25,3,With_ZNE_GT,0.9948981692493506,-0.005101830750649453,-1.0,150,222,48,1.115796859541487,1.92,d4p897bher1c73b9v7n0
28q (No_ZNE),28,1,No_ZNE,0.994140625,0.005859375,1.0,168,249,54,1.334951022552902,1.929,d4p8963her1c73b9v7jg
28q (No_ZNE),28,2,No_ZNE,1.0244140625,-0.0244140625,1.0,168,249,54,1.334951022552902,1.929,d4p896k5fjns73cv3atg
28q (No_ZNE),28,3,No_ZNE,1.0087890625,-0.0087890625,1.0,168,249,54,1.334951022552902,1.929,d4p8973her1c73b9v7lg
28q (With_ZNE_GT),28,1,With_ZNE_GT,0.9930420900154909,0.006957909984509061,1.0,168,249,54,1.334951022552902,1.929,d4p896cfitbs739fn9fg
28q (With_ZNE_GT),28,2,With_ZNE_GT,1.0,-6.659489827387822e-18,1.0,168,249,54,1.334951022552902,1.929,d4p896vt3pms7395u210
28q (With_ZNE_GT),28,3,With_ZNE_GT,0.9761902982644719,0.023809701735528085,1.0,168,249,54,1.334951022552902,1.929,d4p897bher1c73b9v7n0
